event_name,event_type,featured,organization_name,organization_url,acronym,tags,event_url,image_url,start_date,end_date,location,region,in_person,virtual,cfp_due_date,language,hash_tag,code_of_conduct_url,price_range,price,cfp_url,start_time,end_time
PyData Global 2021,Conference,0,NumFOCUS,https://numfocus.org,,python,https://pydata.org/global2021/,,2021-10-28,2021-10-30,Online,Online,No,Yes,,English,,,$0,$0,,leave blank,leave blank
PyCascades 2022,Conference,0,,,,python,https://2022.pycascades.com,,2022-02-05,2022-02-06,Online,Online,No,Yes,,English,,,,,,,
ESMAR,Conference,0,Evidence Synthesis Hackathon,https://www.eshackathon.org,,research,https://esmarconf.github.io/events.html,,2022-02-21,2022-02-24,,,,,,,,,,,,,
PyTexas 2022,Conference,0,,,,python,https://www.pytexas.org,,2022-03-26,2022-03-27,"Austin, TX, USA",Canada / USA,Yes,,,English,,,,,,,
PyCon DE & PyData Berlin 2022,Conference,0,,,,python,https://2022.pycon.de,,2022-04-11,2022-04-13,"Berlin, Germany",Europe,Yes,Yes,,English,,,,,,,
ODSC East 2022,Conference,0,Open Data Science,,,python,https://odsc.com/boston/,,2022-04-19,2022-04-23,"Boston, MA, USA",Canada / USA,Yes,Unknown,,,,,,,,,
ICLR 2022: International Conference on Learning Representations,Conference,0,,,ICLR,,https://iclr.cc/Conferences/2022,,2022-04-25,2022-04-29,Online,Online,No,Yes,,,,,,,,,
Wiki Workshop,Conference,0,Wikimedia,,,,https://wikiworkshop.org/2022/,,2022-04-25,2022-04-25,Online,Online,No,Yes,,,,,,,,,
PyCon US,Conference,0,PSF,,,python,https://us.pycon.org/2022/,,2022-04-27,2022-05-03,"Salt Lake City, UT, USA",Canada / USA,,Yes,,"English, Spanish",,,,,,,
ODSC Europe 2022,Conference,0,Open Data Science,,,,https://odsc.com/europe/,,2022-06-15,2022-06-16,"London, UK",Europe,Yes,,,,,,,,,,
useR! 2022,Conference,0,R Foundation,,,rstats,https://user2022.r-project.org,,2022-06-20,2022-06-23,Online,Online,No,Yes,,,,,,,,,
"ACM Conference on Fairness, Accountability, and Transparency",Conference,0,ACM,,FaaCT,AI ethics,https://facctconference.org,,2022-06-21,2022-06-24,South Korea,Asia,Yes,,,,,,,,,,
ISBA World Meeting,Conference,0,ISBA,https://isbawebmaster.github.io/ISBA2022/,ISBA,,https://isbawebmaster.github.io/ISBA2022/,,2022-06-26,2022-07-01,"Montreal, Quebec, Canada",Canada / USA,Yes,,,,,,,,,,
Wikimania,Conference,0,Wikimedia,,,,https://meta.wikimedia.org/wiki/Celtic_Knot_Conference_2022/Knot_together,,2022-07-01,2022-07-02,Online,Online,No,Yes,,,,,,,,,
PyCon Colombia 2022,Conference,,,,,,https://2022.pycon.co,https://2022.pycon.co/img/tickets/background-intro-tickets-regular.png,2022-07-09,2022-07-10,,Online,No,Yes,,"Spanish, English",,,,,,,
Genetic and Evolutionary Computation Conference,Conference,0,ACM SIGEVO,,GECCO,,https://gecco-2022.sigevo.org/HomePage,,2022-07-09,2022-07-13,"Boston, MA, USA",Canada / USA,Yes,Yes,,,,,,,,,
North American Chapter of the Association for Computational Linguistics,Conference,0,ACL,,NAACL,,https://2022.naacl.org,,2022-07-10,2022-07-15,"Seattle, WA, USA",Canada / USA,Yes,Yes,2022-09-12,,,,,,,,
SciPy,Conference,0,Enthought,,,"python, open source",https://www.scipy2022.scipy.org,,2022-07-11,2022-07-17,"Austin, Texas, USA",Canada / USA,Yes,Unknown,,,,,,,,,
EuroPython 2022,Conference,0,EPS,,,python,https://www.meetup.com/pymc-online-meetup/events/286864711/,,2022-07-11,2022-07-17,"Dublin, Ireland",Europe,Yes,Yes,,,,,,,,,
ICML 2022,Conference,0,,,,"AI, ML, CV",https://icml.cc,,2022-07-17,2022-07-23,"Baltimore, MD, USA",Canada / USA,,,,,,,,,,,
PyData London 2022,Conference,0,NumFOCUS,https://numfocus.org,,python,https://pydata.org/london2022/,,2022-07-17,2022-07-19,"London, England",Europe,Yes ,Unknown,,,,,,,,,
rstudio:conf 2022,Conference,0,RStudio,,,rstats,https://www.rstudio.com/conference/,,2022-07-25,2022-07-28,Washington DC USA,Canada / USA,Yes ,Yes,,,,,$$$$$,~$2500,,,
JuliaCon 2022,Conference,1,NumFOCUS,https://numfocus.org,,,https://juliacon.org/2022/,,2022-07-27,2022-07-29,Online,Online,,Yes,,,,,,,,,
PyOhio 2022,Conference,1,,,,python,https://www.pyohio.org/2022/,https://www.pyohio.org/2022/static/41ccbae0f703e19faf0c05034138c1d8/03f31/pyohio-logo.webp,2022-07-30,2022-07-30,Online,Online,No,Yes,,English,,https://www.pyohio.org/2022/about/code-of-conduct,$0,$0,,,
CarpentryCon 2022,Conference,0,,,,education,https://www.eventbrite.com/e/carpentrycon-2022-tickets-360012566277,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F298964439%2F229790842416%2F1%2Foriginal.20220607-210446?w=800&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C55%2C1200%2C600&s=ec367ae5eee1e5c94a0c427c20dfcb88,2022-08-01,2022-08-12,Online,Online,No,Yes,,English,,https://docs.carpentries.org/topic_folders/policies/code-of-conduct.html#,,,,,
"Artificial Intelligence, Ethics & Society",Conference,0,AAAI/ACM,,AIES,,https://www.aies-conference.com/2022/,https://www.aies-conference.com/2021/wp-content/uploads/2017/10/aies-e1507767598500.png,2022-08-01,2022-08-03,"Oxford, England, UK",Europe,Yes,Yes,,English,,Not found,$,$95-400,,,
Joint Statistical Meetings,Conference,0,ASA,,JSM,statistics,https://ww2.amstat.org/meetings/jsm/2022/,https://ww2.amstat.org/meetings/jsm/2022/images/logo.png,2022-08-06,2022-08-11,Washington DC USA,Canada / USA,Yes,Unknown,,English,,https://www.amstat.org/ASA/Meetings/Meeting-Conduct-Policy.aspx,$,$80-860,,,
Wikimania 2022: The Festival Edition,Conference,0,Wikimedia,,,,https://meta.wikimedia.org/wiki/Wikimania_2022,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Wikimania2022_header_green.svg/1500px-Wikimania2022_header_green.svg.png,2022-08-11,2022-08-14,Online,Online,some,Yes,,English,,https://meta.wikimedia.org/wiki/Wikimedia_community_code_of_conduct,$0,$0,,,
PyData Yerevan,Conference,0,NumFOCUS,https://numfocus.org,,python,https://pydata.org/yerevan2022,https://pydata.org/yerevan2022/wp-content/uploads/2022/03/PyData_logo.png,2022-08-12,2022-08-13,"Yerevan, Armenia",Europe,Yes,No,,English,,https://pydata.org/yerevan2022/conduct/,$,$10-20,,,
Indaba,Conference,0,,,,,https://deeplearningindaba.com/2022/,https://deeplearningindaba.com/2022/wp-content/themes/indaba-template/images/deeplearningindaba.svg,2022-08-21,2022-08-26,"Tunia, Tunisia, Africa",Africa,Yes,Unknown,,English,,https://deeplearningindaba.com/about/code-of-conduct/,$0,$0,,,
EuroSciPy,Conference,1,,,,python,https://www.euroscipy.org/2022/index.html,https://www.euroscipy.org/static/2022/logo.png,2022-08-29,2022-09-02,"Basel, Switzerland",Europe,Yes,Yes,,English,,https://www.euroscipy.org/2022/code_of_conduct.html,$,$50-500,,,
PyBay 2022,Conference,0,,,,python,https://pybay.com,https://pybay.com/site_media/static/new/img/PyBay2021-Transparent-2.c42e9433d678.png,2022-09-10,2022-09-10,"San Francisco, CA, USA",Canada / USA,Yes,No,2022-06-29,English,,https://pybay.com/coc,$,$50-240,,,
Open Source Summit Europe,Conference,0,Linux Foundation,https://linuxfoundation.org,,,https://events.linuxfoundation.org/open-source-summit-europe/,https://events.linuxfoundation.org/wp-content/uploads/2022/05/1000x400-Web.svg,2022-09-13,2022-09-16,"Dublin, Ireland",Europe,Yes,Yes,,English,#ossummit,https://events.linuxfoundation.org/open-source-summit-europe/attend/code-of-conduct/,$$,$275-1250,,,
Grace Hopper Celebration 2022,Conference,0,AnitaB.org,http://anitab.org/,,women-focused,https://ghc.anitab.org,https://41qdz62gliex1muwn14byuj3-wpengine.netdna-ssl.com/wp-content/uploads/2022/03/bg-hero-section-b-679x561.png,2022-09-20,2022-09-23,"Orlando, Florida, USA",Canada / USA,Yes,Yes,,English,,https://ghc.anitab.org/code-of-conduct/,$$$,$199-1298,,,
Women Bioinformatics Network Latin America,Conference,0,,,WBDS LA,women-focused,https://wbds.la/conferences/3WBDSLAC/index.html,https://wbds.la/conferences/3WBDSLAC/assets/img/smaller_banner_2.png,2022-09-20,2022-09-23,Online,Latin America,No,Yes,2022-07-11,English,,https://wbds.la/conduct.html,$0,$0,,,
Privacy in Statistical Databases,Conference,0,,,,,https://crises-deim.urv.cat/psd2022/,https://crises-deim.urv.cat/psd2022/img/header_web_PSD2022.jpg,2022-09-21,2022-09-23,"Paris, France",Europe,Yes,,2022-05-22,English,,Not found,$$,$260-485,,,
Women of MENA In Technology,Conference,1,Women of MENA in Tech,https://pwit-womenofmenaintech.com/,,women-focused,https://hopin.com/events/5th-annual-women-of-mena-in-technology-conference,,2022-09-22,2022-09-23,Online,Online,No,Yes,,,,,,,,,
SciPy Latin America,Conference,0,,,,python,https://pythoncientifico.ar,https://pythoncientifico.ar/static/assets/images/scipy-la-2022_logo.png,2022-09-26,2022-09-28,"Salta, Argentina",Latin America,Yes,Unknown,2022-08-17,Spanish,,https://pythoncientifico.ar/pages/code-of-conduct-scipylat/,,,,,
African Open Science Summit,Conference,0,,,AfricaOSH,,https://africaosh.com/summits,https://africaosh.com/static/media/2022.c1a6711f85fcdd25df26.jpg,2022-09-29,2022-10-01,"MboaLab, Yaoundé, Cameroon",Africa,,,,English,,Not found,,,,,
TWIMLcon: AI Platforms 2022,Conference,0,,,TWiML,"AI, ML",https://twimlai.com/conf/twimlcon/2022/,https://s9i7q5a6.rocketcdn.me/wp-content/uploads/TWIMLcon-2022-Hero-Logo.svg,2022-10-04,2022-10-07,Online,Online,No,Yes,,English,,Not found,$0,$0,,,
Women in Statistics and Data Science,Conference,0,ASA,,WSDS,"women-focused, statistics, data science",https://ww2.amstat.org/meetings/wsds/2022/conferenceinfo.cfm,https://ww2.amstat.org/meetings/wsds/2022/images/logo.png?v=2.0,2022-10-06,2022-10-08,"St. Louis, Missouri, USA",Canada / USA,Yes,,2022-07-15,English,,https://www.amstat.org/ASA/Meetings/Meeting-Conduct-Policy.aspx,$$,$250-695,,,
PyGotham 2022,Conference,0,Big Apple Py,,,python,https://2022.pygotham.tv,https://2022.pygotham.tv/static/images/logo.png,2022-10-07,2022-10-08,Online,Online,No,Yes,2022-07-01,English,,https://2022.pygotham.tv/about/code-of-conduct/,$0,$0,,,
GitKon 2022,Conference,0,,,,,https://gitkon.com,http://gitkondev.wpengine.com/wp-content/uploads/GitKon-2022-BG-02.png,2022-10-11,2022-10-13,Online,Online,,Yes,,English,,https://gitkon.com/gitkon-code-of-conduct/,$0,$0,https://gitkon.com/call-for-speakers/,,
DjangoCon 2022,Conference,1,Django Foundation,,,Django,https://2022.djangocon.us/,https://2022.djangocon.us/,2022-10-16,2022-10-21,"San Diego, California, USA",Canada / USA,Yes,,,English,,https://2022.djangocon.us/conduct/,$$$,$150-999,,,
Python at Scale,Conference,0,NumFOCUS,https://numfocus.org,,,https://www.pythonatscale.com,https://www.pythonatscale.com/,2022-10-27,2022-10-28,"Austin, TX, USA",Canada / USA,Yes,Yes,2022-08-01,English,,https://numfocus.org/code-of-conduct,$$$,$275-776,,,
All Things Open,Conference,0,,,ATO,,https://2021.allthingsopen.org/save-the-date-2022/,https://2021.allthingsopen.org/wp-content/uploads/2021/11/2022_ATO_SaveTheDate_5.5x8.5_v2.png,2022-10-30,2022-11-02,"Raleigh, North Carolina, USA",Canada / USA,Yes,Yes,,English,,https://2022.allthingsopen.org/code-of-conduct/,,,,,
ODSC West 2022,Conference,0,Open Data Science,,,,https://odsc.com/california/,https://odsc.com/wp-content/uploads/2021/04/west-2021-logo-RECONNECT-3.png,2022-11-01,2022-11-03,"San Francisco, California, USA",Canada / USA,Yes,Yes,2022-06-22,English,,https://odsc.com/code-of-conduct/,,,,,
Jamstack Conf,Conference,0,,,,,https://jamstackconf.com/,https://jamstack.org/conf/images/logo-jamstack-2022-cutout.svg,2022-11-07,2022-11-08,"San Fransico, CA, USA",Canada / USA,Yes,Yes,2022-08-12,English,,https://jamstack.org/code-of-conduct/,$0,$0-800,,,
PyData New York,Conference,1,NumFOCUS,https://numfocus.org,,,https://pydata.org/nyc2022,https://pydata.org/nyc2022/wp-content/uploads/2022/07/PyData_logo.png,2022-11-09,2022-11-11,"New York, New York, USA",Canada / USA,Yes,,2022-08-24,English,,https://pydata.org/nyc2022/conduct/,$$$,$160-575,,,
NODES 2022,Conference,0,Neo4j,,,Graph,https://neo4j.com/nodes-2022/,https://dist.neo4j.com/wp-content/uploads/20200514094359/neo4j-nodes-2020-top-banner-background-1.svg,2022-11-16,2022-11-17,Online,Online,No,Yes,2022-08-20,English,,Not found,,,,,
Association for Computational Linguistic and NLP,Conference,0,,,AACL,NLP,https://www.aacl2022.org,,2022-11-20,2022-11-23,Taiwan,Asia,Yes,Yes,2022-07-15,English,,https://www.aacl2022.org/code-of-conduct,,,,,
Pyjamas Conf 2022,Conference,0,,,,,https://pyjamas.live/,,2022-11-26,2022-11-27,Online,Online,,,,,,,,,,,
NeurIPS 2022,Conference,1,,,,"AI, ML, CV",https://nips.cc,,2022-11-28,2022-12-09,"New Orleans, LA, USA",Canada / USA,Yes,Yes,2022-07-04,English,,https://nips.cc/public/CodeOfConduct,$0,,,,
PyData Global 2022,Conference,1,,,,"python, data science",https://pydata.org/global2022/,https://pydata.org/global2022/wp-content/uploads/2021/06/logo.png,2022-12-01,2022-12-03,Online,Online,No,Yes,,English,,https://pydata.org/global2022/conduct/,$,$25 - 200,,,
Empirical Methods in Natural Language Processing,Conference,0,EMNLP,,ACL,NLP,https://2022.emnlp.org,https://2022.emnlp.org/assets/images/logos/acl-logo.png,2022-12-07,2022-12-11,"Abu Dhabi, UAE",Middle East,,Yes,2022-06-24,English,,https://www.acm.org/code-of-ethics,,,,,
Australian Statistical Conference,Conference,0,SSA,https://www.statsoc.org.au,ASC,statistics,https://www.statsoc.org.au/ASC2023,https://www.statsoc.org.au/resources/Pictures/ssa-logo-youngstatisticians.png,2022-12-10,2022-12-15,"Wollongong, NSW, Australia",Oceania,Yes,,,English,,https://www.statsoc.org.au/Code-of-conduct,,,,,
Winter Conference on Applications of Computer Vision ,Conference,0,IEEE/CVF,,WACV,"computer vision, ",http://wacv2023.thecvf.com/,http://cvpr2019.thecvf.com/images/sponsors/ieee_cs_.png,2023-01-03,2023-01-07,"Waikoloa, Hawaii, USA",Canada / USA,Yes,Unknown,2022-07-16,English,,Not found,,,,,
Conf on Statistical Practice,Conference,0,ASA,https://www.amstat.org,CSP,statistics,https://ww2.amstat.org/meetings/csp/2023/,https://ww2.amstat.org/meetings/csp/2023/images/logo.png?v=3.0,2023-02-02,2023-02-04,"San Francisco, CA, USA",Canada / USA,Yes,,,English,,https://www.amstat.org/meetings/code-of-conduct,,,,,
Bayes Comp 2023,Conference,0,ISBA/BCS,https://bayesian.org,,Bayes,https://bayescomp2023.com,"https://img1.wsimg.com/isteam/ip/4163f096-f0ee-419e-9105-9c6a8a61a862/Northern_Lights.jpg/:/rs=w:3070,m",2023-03-12,2023-03-17,"Levi, Finland",Europe,Yes,Yes,2022-08-07,English,,https://bayesian.org/governance/code-of-conduct/,,not announced,,,
ICLR 2023,Conference,0,,,ICLR,,https://iclr.cc,https://iclr.cc/static/core/img/ICLR-logo.svg,2023-05-01,2023-05-05,"Kigali, Rwanda",Africa,,,2022-09-28,English,,https://iclr.cc/public/CodeOfConduct,,,,,
ODSC East 2023,Conference,0,Open Data Science,https://odsc.com,,,https://odsc.com/boston/,,2023-05-09,2023-05-11,"Boston, MA, USA",Canada / USA,Yes,Unknown,,English,,https://odsc.com/code-of-conduct/,,,,,
DataConnect Conference,Conference,0,WIA,,WIA-DC,,https://www.dataconnectconf.com/,https://uploads-ssl.webflow.com/6164cdbceec2a908841609b5/61709899316ac23dda1364a8_columbus%20skyline.jpeg,2023-07-20,2023-07-21,"Columbus, Ohio, USA",Canada / USA,Yes,Unknown,,English,,Not found,$$,$ 75-899,,,
JSM 2023,Conference,0,ASA,https://www.amstat.org,JSM,statistics,https://ww2.amstat.org/meetings/jsm/2023/,https://ww2.amstat.org/meetings/jsm/2023/images/logo.png?v=2023,2023-08-05,2023-08-10,"Toronto, Ontario, Canada",Canada / USA,Yes,Unknown,2022-09-08,English,,https://www.amstat.org/meetings/code-of-conduct,,,,,
Pycon Ireland 2022,Conference,0,,https://python.ie,,,https://python.ie/pycon-2022/,,2022-11-12,2022-11-13,"Radisson Blu, Royal HotelDublin, Leinster, Ireland",Europe,Yes,Unknown,2022-09-08,English,,https://python.ie/pycon-2022/code-conduct/,$$,$40-350,,,
PyCon Ghana,Conference,1,PyCon Ghana,,,,https://gh.pycon.org,"https://res.cloudinary.com/pyconghana/image/upload/dpr_auto,f_auto,q_auto,w_auto/v1/website_storage_location/static/2022/images/logo/logo-w.png",2022-10-13,2022-10-15,"Accra, Ghana",Africa,Yes,No,,English,,https://gh.pycon.org/coc/,$,₵80.00-₵150.00,,,
PyData Tel Aviv,Conference,0,,,,,https://pydata.org/telaviv2022/,,2022-12-23,2022-12-23,"Tel Aviv, Israel",Middle East,Yes,No,2022-09-12,English,,https://pydata.org/telaviv2022/conduct/,,,,,
PyCon LatAm 2022,Conference,0,,,,,https://pylatam.org,https://pylatam.org/img/logo.svg,2022-08-25,2022-08-27,,Latin America,No,Yes,2022-06-26,Spanish,,https://pylatam.org/conducta.html,$,$15,,,